,phrase,label,sentiment,subjectivity,language,count
Jeonnam mountain rangers,Jeonnam mountain rangers,ORG,0.0,0.0,en,1.0
Homeland Security Research Division,Homeland Security Research Division,ORG,-0.25,0.0,en,1.0
Korea Institute of Geoscience and Mineral Resources,Korea Institute of Geoscience and Mineral Resources,ORG,-0.25,0.0,en,1.0
Forests,Forests,ORG,0.25,0.0,en,1.0
the Democratic Party of Korea,the Democratic Party of Korea,ORG,0.0,0.0,en,1.0
Korea Disease Control and Prevention Agency,Korea Disease Control and Prevention Agency,ORG,0.0,0.0,en,1.0
Integrated Health Risk Information System,Integrated Health Risk Information System,ORG,0.0,0.0,en,1.0
Korea Meteorological Administration,Korea Meteorological Administration,ORG,0.0,0.0,en,1.0
POSTECH,POSTECH,ORG,0.1,0.0,en,1.0
"the Ministry of Climate, Energy and Environment","the Ministry of Climate, Energy and Environment",ORG,-0.09999999999999999,0.0,en,1.0
the Sejong Government Complex,the Sejong Government Complex,ORG,-0.09999999999999999,0.0,en,1.0
"Climate, Energy and Environment","Climate, Energy and Environment",ORG,0.25,0.0,en,1.0
Basin (Local) Environmental Office,Basin (Local) Environmental Office,ORG,0.0,0.0,en,1.0
Flood Control Center,Flood Control Center,ORG,0.0,0.0,en,1.0
Korea Electric Power Corporation,Korea Electric Power Corporation,ORG,0.0,0.0,en,1.0
Korea Hydro & Nuclear Power,Korea Hydro & Nuclear Power,ORG,0.0,0.0,en,1.0
Korea Water Resources Corporation,Korea Water Resources Corporation,ORG,0.0,0.0,en,1.0
the National Village Building Network (Village Net,the National Village Building Network (Village Net,ORG,-0.05,0.0,en,1.0
the Governance Center,the Governance Center,ORG,-0.05,0.0,en,1.0
Dorimcheon Stream,Dorimcheon Stream,ORG,0.0,0.0,en,1.0
Gwanak-gu,Gwanak-gu,ORG,0.0,0.0,en,1.0
ZeroTrust,ZeroTrust,ORG,-0.0625,0.0,en,1.0
Song (Ph.D. of Science,Song (Ph.D. of Science,ORG,0.0,0.0,en,1.0
DS&G,DS&G,ORG,0.0,0.0,en,1.0
MS) Research Institute,MS) Research Institute,ORG,0.0,0.0,en,1.0
Uijeongbu Eulji University Hospital,Uijeongbu Eulji University Hospital,ORG,-0.05,0.0,en,1.0
the &lsquo;brain&rsquo,the &lsquo;brain&rsquo,ORG,-0.2333333333333333,0.0,en,1.0
KAI,KAI,ORG,0.0,0.0,en,1.0
Falcon 9,Falcon 9,ORG,0.0,0.0,en,1.0
The Aerospace Administration,The Aerospace Administration,ORG,0.0,0.0,en,1.0
"the Ministry of Land, Infrastructure and Transport","the Ministry of Land, Infrastructure and Transport",ORG,0.0,0.0,en,1.0
SpaceX,SpaceX,ORG,0.0,0.0,en,1.0
Falcon 9',Falcon 9',ORG,0.0,0.0,en,1.0
Korea Aerospace Industries,Korea Aerospace Industries,ORG,0.0,0.0,en,1.0
the Space Agency,the Space Agency,ORG,0.0,0.0,en,1.0
the Seoul National University Hospital Cancer Research Center,the Seoul National University Hospital Cancer Research Center,ORG,-0.05,0.0,en,1.0
Microsoft,Microsoft,ORG,0.0,0.0,en,1.0
Carbon Brief,Carbon Brief,ORG,0.0,0.0,en,1.0
Gyeongsangnam,Gyeongsangnam,ORG,0.0,0.0,en,1.0
the Ministry of Public Administration and Security's,the Ministry of Public Administration and Security's,ORG,-0.06666666666666667,0.0,en,1.0
the Korea Forest Service Are ',the Korea Forest Service Are ',ORG,0.0,0.0,en,1.0
the National Aeronautics and Space Administration,the National Aeronautics and Space Administration,ORG,0.05,0.0,en,1.0
NASA,NASA,ORG,0.05,0.0,en,1.0
the Indian Space Research Organization,the Indian Space Research Organization,ORG,0.05,0.0,en,1.0
ISRO,ISRO,ORG,0.05,0.0,en,1.0
the Prodin A Anchor Red Camera Neck Strap,the Prodin A Anchor Red Camera Neck Strap,ORG,0.16666666666666666,0.0,en,1.0
Jeju Island,Jeju Island,ORG,0.0,0.0,en,1.0
